iter	Passed	Remaining
400	30441	45472
401	30508	45383
402	30570	45286
403	30639	45201
404	30705	45109
405	30770	45019
406	30839	44932
407	30911	44852
408	31011	44811
409	31079	44723
410	31142	44630
411	31223	44562
412	31308	44498
413	31384	44424
414	31457	44343
415	31584	44340
416	31661	44265
417	31750	44207
418	31838	44148
419	31912	44069
420	31988	43993
421	32058	43909
422	32127	43823
423	32185	43723
424	32266	43654
425	32349	43587
426	32430	43519
427	32507	43444
428	32576	43359
429	32646	43275
430	32708	43181
431	32791	43114
432	32851	43017
433	32918	42931
434	32986	42844
435	33055	42759
436	33126	42677
437	33196	42594
438	33266	42510
439	33331	42422
440	33423	42366
441	33485	42273
442	33550	42184
443	33610	42088
444	33676	42000
445	33745	41917
446	33820	41840
447	33899	41769
448	33970	41688
449	34043	41608
450	34110	41522
451	34184	41445
452	34253	41361
453	34320	41275
454	34471	41290
455	34551	41218
456	34635	41153
457	34742	41114
458	34800	41017
459	34877	40943
460	34945	40857
461	35022	40783
462	35094	40703
463	35165	40621
464	35229	40532
465	35295	40445
466	35369	40367
467	35441	40288
468	35506	40199
469	35591	40134
470	35682	40077
471	35743	39983
472	35808	39896
473	35877	39813
474	35959	39744
475	36022	39655
476	36093	39573
477	36166	39496
478	36225	39401
479	36286	39310
480	36364	39236
481	36437	39159
482	36502	39071
483	36563	38981
484	36632	38898
485	36695	38809
486	36772	38736
487	36842	38654
488	37000	38664
489	37081	38595
490	37162	38524
491	37235	38446
492	37305	38364
493	37369	38277
494	37438	38194
495	37518	38123
496	37603	38057
497	37685	37987
498	37778	37929
499	37886	37886
500	37944	37793
501	38073	37769
502	38141	37686
503	38210	37604
504	38287	37529
505	38352	37442
506	38433	37372
507	38512	37299
508	38593	37228
509	38664	37147
510	38729	37062
511	38799	36981
512	38864	36894
513	38927	36806
514	39001	36729
515	39107	36682
516	39182	36605
517	39251	36523
518	39318	36439
519	39383	36354
520	39449	36269
521	39518	36187
522	39581	36100
523	39648	36016
524	39711	35929
525	39772	35840
526	39832	35750
527	39894	35663
528	39952	35572
529	40014	35484
530	40076	35396
531	40130	35302
532	40190	35213
533	40254	35128
534	40322	35046
535	40404	34976
536	40490	34911
537	40573	34842
538	40651	34768
539	40756	34718
540	40841	34651
541	40938	34594
542	41025	34527
543	41089	34442
544	41160	34363
545	41232	34285
546	41310	34211
547	41395	34143
548	41484	34079
549	41561	34005
550	41641	33933
551	41731	33869
552	41788	33778
553	41856	33696
554	41925	33616
555	41997	33537
556	42068	33458
557	42147	33385
558	42214	33303
559	42282	33222
560	42355	33144
561	42426	33065
562	42499	32988
563	42575	32912
564	42640	32829
565	42711	32750
566	42781	32671
567	42851	32591
568	42912	32504
569	42997	32436
570	43061	32352
571	43126	32269
572	43196	32190
573	43277	32118
574	43348	32039
575	43418	31960
576	43488	31881
577	43557	31801
578	43675	31757
579	43784	31705
580	43909	31666
581	44031	31624
582	44137	31570
583	44212	31493
584	44283	31415
585	44353	31335
586	44419	31252
587	44487	31171
588	44552	31088
589	44617	31005
590	44807	31008
591	44873	30925
592	44929	30836
593	44989	30750
594	45053	30666
595	45123	30587
596	45188	30504
597	45250	30419
598	45317	30337
599	45383	30255
600	45452	30175
601	45519	30094
602	45591	30016
603	45817	30039
604	45918	29979
605	46001	29908
606	46074	29830
607	46150	29755
608	46228	29680
609	46300	29602
610	46378	29527
611	46460	29455
612	46548	29386
613	46619	29307
614	46685	29226
615	46769	29154
616	46838	29074
617	46913	28998
618	46996	28926
619	47061	28844
620	47128	28762
621	47196	28682
622	47261	28599
623	47321	28514
624	47389	28433
625	47460	28354
626	47531	28276
627	47594	28192
628	47659	28110
629	47726	28029
630	47792	27948
631	47861	27868
632	47927	27787
633	48018	27720
634	48089	27642
635	48169	27568
636	48237	27488
637	48311	27411
638	48379	27331
639	48454	27255
640	48519	27173
641	48604	27103
642	48671	27023
643	48742	26944
644	48807	26862
645	48934	26815
646	49006	26737
647	49077	26659
648	49141	26577
649	49207	26496
650	49288	26423
651	49351	26340
652	49426	26264
653	49495	26185
654	49555	26101
655	49629	26024
656	49696	25945
657	49767	25867
658	49829	25784
659	49888	25700
660	49955	25620
661	50015	25536
662	50084	25457
663	50148	25376
664	50214	25295
665	50277	25214
666	50341	25133
667	50406	25052
668	50470	24970
669	50534	24890
670	50598	24808
671	50666	24729
672	50732	24650
673	50794	24568
674	50870	24493
675	50927	24409
676	50994	24329
677	51056	24248
678	51124	24169
679	51186	24087
680	51254	24009
681	51321	23930
